"user_id";"date";"awareness";"understanding";"useful_area";"comment"
1;"2025-11-14";"yes";2;"Engineering";"3D printing makes objects by adding layer by layer from a digital design"
2;"2025-11-14";"maybe";1;"Engineering";"it is the building of objects and more often with the use of AutoCAD software"
3;"2025-11-14";"yes";3;"Engineering";"3D printing involves the transformation of a digital model of a product or object int a tangible product or prototype layer by layer"
4;"2025-11-15";"yes";2;"Engineering";""
5;"2025-11-15";"yes";3;"Medicine";"Saw it in a movie"
6;"2025-11-15";"yes";3;"Engineering,Energy";"is the process of creating a realistic image from a 3D model using a computer"
7;"2025-11-15";"no";1;"I'm not sure";"nothing"
8;"2025-11-16";"yes";3;"Engineering";"Well, I know that 3D and additive manufacturing technology gives innovators in the engineering space freedom and precision to create complex designs that cannot be made traditionally.This allows room for customizatiuon and exploration of different test parts before settling on a complete design."
9;"2025-11-16";"yes";3;"Engineering, Medicine";"3D is technology where 3 dimensional object is created layer by layer using digital model. It is an efficient design that reduces wastage and provide precision"
10;"2025-11-16";"yes";2;"Engineering, Medicine, Energy";"3D rendering is the process of generating accurate visual representations of technical models-such as machines, structures, or components-to simulate appearance, function, and performance before manufacturing "
11;"2025-11-15";"yes";3;"Engineering";""
